"Name","PropertyName","PropertyType","IsRequired","ObjectType","DefaultInt","DefaultString"
"string","string","string","boolean","string","int","string"
"ChallengeDefinitionType","Casual","BOOLEAN","FALSE",,,
,"GameMode","ENUMERATION","TRUE","GameModes_Challenge",,
,"Title","LIST","TRUE","LocalizedStringType",,
,"FreePass","NUMBER","FALSE",,,
,"JoinCost","NUMBER","FALSE",,,
,"JoinCostResource","ENUMERATION","FALSE","ResourceEnum",,
,"MaxLosses","NUMBER","FALSE",,,
,"Rewards","LIST","TRUE","RewardType",,
,"CardTheme","ENUMERATION","FALSE","SpellsEnum",,
,"IconExportName","ENUMERATION","TRUE","IconExportNameEnum",,
,"WinIconExportName","ENUMERATION","FALSE","WinIconExportNameEnum",,
,"Arena","ENUMERATION","FALSE","ArenaEnum",,
,"Subtitle","LIST","TRUE","LocalizedStringType",,
,"Subtitle_Short","LIST","FALSE","LocalizedStringType",,
,"Description","LIST","TRUE","LocalizedStringType",,
,"StartNotification","LIST","FALSE","LocalizedStringType",,
,"EndNotification","LIST","FALSE","LocalizedStringType",,
,"DraftDeck","ENUMERATION","FALSE","DraftDecks",,
,"DraftDeckAlt","ENUMERATION","FALSE","DraftDecks",,
,"DraftDeckCardThemeSetOverride","ENUMERATION","FALSE","DraftSets",,
,"Background","OBJECT","FALSE","FileType",,
,"Background_Complete","OBJECT","FALSE","FileType",,
,"UnlockedForXP","ENUMERATION","TRUE","ChallengeXPLevel",,
,"Casual_CrownsInsteadOfWins","BOOLEAN","FALSE",,,
,"IsChainedEvent","BOOLEAN","FALSE",,,
,"IsDailyRefresh","BOOLEAN","FALSE",,,
,"LocationOverride","ENUMERATION","FALSE","LocationOverrideEnum",,
"FriendlyChallengeDefinitionType","Title","LIST","TRUE","LocalizedStringType",,
,"Subtitle","LIST","TRUE","LocalizedStringType",,
,"GameMode","ENUMERATION","TRUE","GameModes_Friendly",,
,"StartNotification","LIST","FALSE","LocalizedStringType",,
,"EndNotification","LIST","FALSE","LocalizedStringType",,
,"FixedArena","ENUMERATION","FALSE","ArenaEnum",,
,"Background","OBJECT","FALSE","FileType",,
,"DraftDeck","ENUMERATION","FALSE","DraftDecks",,
,"DraftDeckAlt","ENUMERATION","FALSE","DraftDecks",,
,"DraftCardTheme","STRING","FALSE",,,
,"DraftDeckCardThemeSetOverride","ENUMERATION","FALSE","DraftSets",,
,"HideTimer","BOOLEAN","FALSE",,,
,"Target_AccountType","ENUMERATION","FALSE","AccountTypeEnum",,
,"DraftSpell1","ENUMERATION","FALSE","SpellsEnum",,
,"DraftSpell2","ENUMERATION","FALSE","SpellsEnum",,
"ShopDefinitionType","Title","LIST","TRUE","LocalizedStringType",,
,"Subtitle","LIST","TRUE","LocalizedStringType",,
,"ShopOffers","LIST","TRUE","ShopOfferType",,
,"Target_ModuloX","NUMBER","FALSE",,,
,"Target_ModuloY","NUMBER","FALSE",,,
,"Target_Account","STRING","FALSE",,,
,"Target_MinTrophies","NUMBER","FALSE",,,
,"Target_MaxTrophies","NUMBER","FALSE",,,
,"Target_DaysToShow","NUMBER","FALSE",,,
,"Target_MinBought","NUMBER","FALSE",,,
,"Target_MaxBought","NUMBER","FALSE",,,
,"Target_MinXPLevel","NUMBER","FALSE",,,
,"Target_CalculateOnce","BOOLEAN","FALSE",,,
,"StartNotification","LIST","FALSE","LocalizedStringType",,
,"EndNotification","LIST","FALSE","LocalizedStringType",,
,"IsSpecial","BOOLEAN","FALSE",,,
,"HideTimer","BOOLEAN","FALSE",,,
"RewardType","Gold","NUMBER","FALSE",,,
,"Cards","NUMBER","FALSE",,,
,"Milestone","OBJECT","FALSE","MilestoneType",,
"ShopOfferType","Title","LIST","FALSE","LocalizedStringType",,
,"Template","ENUMERATION","TRUE","ShopTemplates",,
,"Repeatable","BOOLEAN","FALSE",,,
,"CostType","ENUMERATION","TRUE","CostTypeEnum",,
,"Cost","NUMBER","FALSE",,,
,"CostIAP","ENUMERATION","FALSE","BillingPackages",,
,"Image","OBJECT","TRUE","ImageType",,
,"PurchasedImage","OBJECT","FALSE","ImageType",,
,"Multiplier","NUMBER","FALSE",,,
,"RewardsV2","LIST","FALSE","OfferRewardTypeV2",,
,"NumTimesPurchasable","NUMBER","FALSE",,,
"OfferRewardTypeV2","Type","ENUMERATION","TRUE","OfferRewardEnum",,
,"Chest","OBJECT","FALSE","OfferRewardType_Chest",,
,"ChestWithCardTheme","OBJECT","FALSE","OfferRewardType_ChestWithCardTheme",,
,"Gold","OBJECT","FALSE","OfferRewardType_Gold",,
,"Gems","OBJECT","FALSE","OfferRewardType_Gems",,
,"Spell","OBJECT","FALSE","OfferRewardType_Spell",,
"OfferRewardType_Chest","Chest","ENUMERATION","FALSE","ChestEnum",,
"OfferRewardType_ChestWithCardTheme","ChestName","LIST","FALSE","LocalizedStringType",,
,"Spell","ENUMERATION","FALSE","SpellsEnum",,
,"TotalCards","NUMBER","FALSE",,,
,"RareChance","NUMBER","FALSE",,,
,"EpicChance","NUMBER","FALSE",,,
,"LegendaryOneInX","NUMBER","FALSE",,,
